repository	disposition	category	reason
gamelife1314/rsb	retained	benchmark/testing candidate	Benchmark design, diagnostic integration, or representative workload candidate; not a certification of repository quality.
CodSpeedHQ/codspeed-rust	retained	benchmark/testing candidate	Benchmark design, diagnostic integration, or representative workload candidate; not a certification of repository quality.
lschmierer/ecs_bench	retained	benchmark/testing candidate	Benchmark design, diagnostic integration, or representative workload candidate; not a certification of repository quality.
marvin-j97/rust-storage-bench	retained	benchmark/testing candidate	Benchmark design, diagnostic integration, or representative workload candidate; not a certification of repository quality.
TeXitoi/benchmarksgame-rs	retained	benchmark/testing candidate	Benchmark design, diagnostic integration, or representative workload candidate; not a certification of repository quality.
tczajka/bigint-benchmark-rs	retained	benchmark/testing candidate	Benchmark design, diagnostic integration, or representative workload candidate; not a certification of repository quality.
briansmith/crypto-bench	retained	benchmark/testing candidate	Benchmark design, diagnostic integration, or representative workload candidate; not a certification of repository quality.
ultralytics/template-rust	excluded	benchmark/testing candidate	Search false positive or domain outside Rust performance harness requirements.
bluss/twoway	retained	benchmark/testing candidate	Benchmark design, diagnostic integration, or representative workload candidate; not a certification of repository quality.
SwiftyPop/TimerResBenchmark	retained	benchmark/testing candidate	Benchmark design, diagnostic integration, or representative workload candidate; not a certification of repository quality.
a16z/zkvm-benchmarks	retained	benchmark/testing candidate	Benchmark design, diagnostic integration, or representative workload candidate; not a certification of repository quality.
EmbarkStudios/tiny-bench	retained	benchmark/testing candidate	Benchmark design, diagnostic integration, or representative workload candidate; not a certification of repository quality.
unixpickle/Benchmarks	retained	benchmark/testing candidate	Benchmark design, diagnostic integration, or representative workload candidate; not a certification of repository quality.
rust-lang/libtest	retained	benchmark/testing candidate	Benchmark design, diagnostic integration, or representative workload candidate; not a certification of repository quality.
rylev/welle	retained	benchmark/testing candidate	Benchmark design, diagnostic integration, or representative workload candidate; not a certification of repository quality.
samuell/gccontent-benchmark	retained	benchmark/testing candidate	Benchmark design, diagnostic integration, or representative workload candidate; not a certification of repository quality.
sassman/ssd-benchmark-rs	retained	benchmark/testing candidate	Benchmark design, diagnostic integration, or representative workload candidate; not a certification of repository quality.
surrealdb/crud-bench	retained	benchmark/testing candidate	Benchmark design, diagnostic integration, or representative workload candidate; not a certification of repository quality.
fereidani/rust-channel-benchmarks	retained	benchmark/testing candidate	Benchmark design, diagnostic integration, or representative workload candidate; not a certification of repository quality.
PSeitz/binggan	retained	benchmark/testing candidate	Benchmark design, diagnostic integration, or representative workload candidate; not a certification of repository quality.
BurntSushi/rust-sorts	retained	benchmark/testing candidate	Benchmark design, diagnostic integration, or representative workload candidate; not a certification of repository quality.
egraphs-good/extraction-gym	retained	benchmark/testing candidate	Benchmark design, diagnostic integration, or representative workload candidate; not a certification of repository quality.
xemantic/java-2-times-faster-than-c	retained	benchmark/testing candidate	Benchmark design, diagnostic integration, or representative workload candidate; not a certification of repository quality.
vllm-project/vllm-bench	retained	benchmark/testing candidate	Benchmark design, diagnostic integration, or representative workload candidate; not a certification of repository quality.
tempoxyz/schelk	retained	benchmark/testing candidate	Benchmark design, diagnostic integration, or representative workload candidate; not a certification of repository quality.
apitap/apitap-lib	retained	benchmark/testing candidate	Benchmark design, diagnostic integration, or representative workload candidate; not a certification of repository quality.
haraldh/rust_echo_bench	retained	benchmark/testing candidate	Benchmark design, diagnostic integration, or representative workload candidate; not a certification of repository quality.
kaist-cp/smr-benchmark	retained	benchmark/testing candidate	Benchmark design, diagnostic integration, or representative workload candidate; not a certification of repository quality.
polybase/zk-benchmarks	retained	benchmark/testing candidate	Benchmark design, diagnostic integration, or representative workload candidate; not a certification of repository quality.
apache/sedona-spatialbench	retained	benchmark/testing candidate	Benchmark design, diagnostic integration, or representative workload candidate; not a certification of repository quality.
eth-act/zkevm-benchmark-workload	retained	benchmark/testing candidate	Benchmark design, diagnostic integration, or representative workload candidate; not a certification of repository quality.
deepu105/concurrency-benchmarks	unavailable	benchmark/testing candidate	No README body; excluded from content-review count.
Canop/glassbench	retained	benchmark/testing candidate	Benchmark design, diagnostic integration, or representative workload candidate; not a certification of repository quality.
privacy-ethereum/nova-bench	retained	benchmark/testing candidate	Benchmark design, diagnostic integration, or representative workload candidate; not a certification of repository quality.
askama-rs/template-benchmark	retained	benchmark/testing candidate	Benchmark design, diagnostic integration, or representative workload candidate; not a certification of repository quality.
xnuter/perf-gauge	retained	benchmark/testing candidate	Benchmark design, diagnostic integration, or representative workload candidate; not a certification of repository quality.
nu11ptr/criterion-table	retained	benchmark/testing candidate	Benchmark design, diagnostic integration, or representative workload candidate; not a certification of repository quality.
dmitryikh/rust-vs-cpp-bench	retained	benchmark/testing candidate	Benchmark design, diagnostic integration, or representative workload candidate; not a certification of repository quality.
ruvnet/rupixel	excluded	benchmark/testing candidate	Visual RAG product; outside the selected workload scope
SpaceCell/lightstream	retained	benchmark/testing candidate	Benchmark design, diagnostic integration, or representative workload candidate; not a certification of repository quality.
nuald/simple-web-benchmark	unavailable	benchmark/testing candidate	No README body; excluded from content-review count.
codecrafters-io/ccbench	excluded	benchmark/testing candidate	Search false positive or domain outside Rust performance harness requirements.
DoHoonKim8/halo2-lasso	retained	benchmark/testing candidate	Benchmark design, diagnostic integration, or representative workload candidate; not a certification of repository quality.
danoctavian/c10k-bench	retained	benchmark/testing candidate	Benchmark design, diagnostic integration, or representative workload candidate; not a certification of repository quality.
openai/evals	excluded	benchmark/testing candidate	Search false positive or domain outside Rust performance harness requirements.
TechEmpower/FrameworkBenchmarks	retained	benchmark/testing candidate	Benchmark design, diagnostic integration, or representative workload candidate; not a certification of repository quality.
krausest/js-framework-benchmark	retained	benchmark/testing candidate	Benchmark design, diagnostic integration, or representative workload candidate; not a certification of repository quality.
the-benchmarker/web-frameworks	retained	benchmark/testing candidate	Benchmark design, diagnostic integration, or representative workload candidate; not a certification of repository quality.
AgentOps-AI/agentops	excluded	benchmark/testing candidate	Search false positive or domain outside Rust performance harness requirements.
modelscope/evalscope	excluded	benchmark/testing candidate	Search false positive or domain outside Rust performance harness requirements.
mani-skill/ManiSkill	excluded	benchmark/testing candidate	Search false positive or domain outside Rust performance harness requirements.
llm-as-a-verifier/llm-as-a-verifier	excluded	benchmark/testing candidate	Search false positive or domain outside Rust performance harness requirements.
microsoftarchive/promptbench	excluded	benchmark/testing candidate	Search false positive or domain outside Rust performance harness requirements.
processone/tsung	retained	benchmark/testing candidate	Benchmark design, diagnostic integration, or representative workload candidate; not a certification of repository quality.
yandex/yandex-tank	retained	benchmark/testing candidate	Benchmark design, diagnostic integration, or representative workload candidate; not a certification of repository quality.
ARISE-Initiative/robosuite	excluded	benchmark/testing candidate	Search false positive or domain outside Rust performance harness requirements.
EMI-Group/evox	retained	benchmark/testing candidate	Benchmark design, diagnostic integration, or representative workload candidate; not a certification of repository quality.
IBM/AssetOpsBench	excluded	benchmark/testing candidate	Search false positive or domain outside Rust performance harness requirements.
hexo-ai/sia	excluded	benchmark/testing candidate	AI task-quality evaluation, not a systems performance harness
smallnest/go-web-framework-benchmark	retained	benchmark/testing candidate	Benchmark design, diagnostic integration, or representative workload candidate; not a certification of repository quality.
phpbench/phpbench	retained	benchmark/testing candidate	Benchmark design, diagnostic integration, or representative workload candidate; not a certification of repository quality.
Elanis/web-to-desktop-framework-comparison	retained	benchmark/testing candidate	Benchmark design, diagnostic integration, or representative workload candidate; not a certification of repository quality.
IntelLabs/fastRAG	excluded	benchmark/testing candidate	RAG framework; no benchmark architecture evidence selected
julienschmidt/go-http-routing-benchmark	retained	benchmark/testing candidate	Benchmark design, diagnostic integration, or representative workload candidate; not a certification of repository quality.
yoshitomo-matsubara/torchdistill	excluded	benchmark/testing candidate	Model-quality evaluation outside current scope
kengz/SLM-Lab	excluded	benchmark/testing candidate	Search false positive or domain outside Rust performance harness requirements.
ZJU-REAL/ClawGUI	excluded	benchmark/testing candidate	GUI-agent training and task success evaluation
flow-project/flow	excluded	benchmark/testing candidate	Search false positive or domain outside Rust performance harness requirements.
PKU-Alignment/omnisafe	excluded	benchmark/testing candidate	Safe RL quality benchmark outside current scope
tensorflow/benchmarks	retained	benchmark/testing candidate	Benchmark design, diagnostic integration, or representative workload candidate; not a certification of repository quality.
mikeroyal/Open-Source-Security-Guide	excluded	benchmark/testing candidate	Search false positive or domain outside Rust performance harness requirements.
kenjis/php-framework-benchmark	retained	benchmark/testing candidate	Benchmark design, diagnostic integration, or representative workload candidate; not a certification of repository quality.
DigitalInBlue/Celero	retained	benchmark/testing candidate	Benchmark design, diagnostic integration, or representative workload candidate; not a certification of repository quality.
capgym/cap-x	excluded	benchmark/testing candidate	Search false positive or domain outside Rust performance harness requirements.
eknkc/ssr-benchmark	retained	benchmark/testing candidate	Benchmark design, diagnostic integration, or representative workload candidate; not a certification of repository quality.
caderek/benny	retained	benchmark/testing candidate	Benchmark design, diagnostic integration, or representative workload candidate; not a certification of repository quality.
melix/jmh-gradle-plugin	unavailable	benchmark/testing candidate	No README body; excluded from content-review count.
klen/py-frameworks-bench	retained	benchmark/testing candidate	Benchmark design, diagnostic integration, or representative workload candidate; not a certification of repository quality.
networknt/microservices-framework-benchmark	retained	benchmark/testing candidate	Benchmark design, diagnostic integration, or representative workload candidate; not a certification of repository quality.
hyperledger-caliper/caliper	retained	benchmark/testing candidate	Benchmark design, diagnostic integration, or representative workload candidate; not a certification of repository quality.
mroth/phoenix-showdown	retained	benchmark/testing candidate	Benchmark design, diagnostic integration, or representative workload candidate; not a certification of repository quality.
Picovoice/speech-to-text-benchmark	excluded	benchmark/testing candidate	Search false positive or domain outside Rust performance harness requirements.
JuliaCI/BenchmarkTools.jl	retained	benchmark/testing candidate	Benchmark design, diagnostic integration, or representative workload candidate; not a certification of repository quality.
cmu-db/benchbase	retained	benchmark/testing candidate	Benchmark design, diagnostic integration, or representative workload candidate; not a certification of repository quality.
fastify/benchmarks	retained	benchmark/testing candidate	Benchmark design, diagnostic integration, or representative workload candidate; not a certification of repository quality.
ServiceNow/AgentLab	excluded	benchmark/testing candidate	Agent task evaluation outside current scope
facebookresearch/MLGym	excluded	benchmark/testing candidate	AI research agent evaluation
amazon-archives/aws-security-benchmark	excluded	benchmark/testing candidate	Search false positive or domain outside Rust performance harness requirements.
SalesforceAIResearch/MCP-Universe	excluded	benchmark/testing candidate	Search false positive or domain outside Rust performance harness requirements.
allenai/vla-evaluation-harness	excluded	benchmark/testing candidate	Robot policy evaluation outside current scope
SaltyAom/bun-http-framework-benchmark	retained	benchmark/testing candidate	Benchmark design, diagnostic integration, or representative workload candidate; not a certification of repository quality.
petabridge/NBench	retained	benchmark/testing candidate	Benchmark design, diagnostic integration, or representative workload candidate; not a certification of repository quality.
itbench-hub/ITBench	excluded	benchmark/testing candidate	IT agent evaluation outside current scope
shchur/gnn-benchmark	excluded	benchmark/testing candidate	Graph model quality evaluation
BuilderIO/framework-benchmarks	retained	benchmark/testing candidate	Benchmark design, diagnostic integration, or representative workload candidate; not a certification of repository quality.
openml/automlbenchmark	unavailable	benchmark/testing candidate	No README body; excluded from content-review count.
openmessaging/benchmark	retained	benchmark/testing candidate	Benchmark design, diagnostic integration, or representative workload candidate; not a certification of repository quality.
0ca/BoxPwnr	excluded	benchmark/testing candidate	Search false positive or domain outside Rust performance harness requirements.
layoutBox/LayoutFrameworkBenchmark	retained	benchmark/testing candidate	Benchmark design, diagnostic integration, or representative workload candidate; not a certification of repository quality.
harsha-simhadri/big-ann-benchmarks	retained	benchmark/testing candidate	Benchmark design, diagnostic integration, or representative workload candidate; not a certification of repository quality.
wil3/gymfc	excluded	benchmark/testing candidate	Controller training benchmark outside current scope
u39kun/deep-learning-benchmark	retained	benchmark/testing candidate	Benchmark design, diagnostic integration, or representative workload candidate; not a certification of repository quality.
oltpbenchmark/oltpbench	retained	benchmark/testing candidate	Benchmark design, diagnostic integration, or representative workload candidate; not a certification of repository quality.
the-benchmarker/website	retained	benchmark/testing candidate	Benchmark design, diagnostic integration, or representative workload candidate; not a certification of repository quality.
irobot-ros/ros2-performance	retained	benchmark/testing candidate	Benchmark design, diagnostic integration, or representative workload candidate; not a certification of repository quality.
NVIDIA/SkillEvaluator	excluded	benchmark/testing candidate	Search false positive or domain outside Rust performance harness requirements.
isri-aist/RoboManipBaselines	excluded	benchmark/testing candidate	Search false positive or domain outside Rust performance harness requirements.
qdrant/vector-db-benchmark	retained	benchmark/testing candidate	Benchmark design, diagnostic integration, or representative workload candidate; not a certification of repository quality.
libnonius/nonius	retained	benchmark/testing candidate	Benchmark design, diagnostic integration, or representative workload candidate; not a certification of repository quality.
nickbruun/hayai	retained	benchmark/testing candidate	Benchmark design, diagnostic integration, or representative workload candidate; not a certification of repository quality.
AlexeyZatsepin/Android-ORM-benchmark	retained	benchmark/testing candidate	Benchmark design, diagnostic integration, or representative workload candidate; not a certification of repository quality.
openstack/rally	retained	benchmark/testing candidate	Benchmark design, diagnostic integration, or representative workload candidate; not a certification of repository quality.
chronoxor/CppBenchmark	retained	benchmark/testing candidate	Benchmark design, diagnostic integration, or representative workload candidate; not a certification of repository quality.
remotebiosensing/rppg	excluded	benchmark/testing candidate	Physiological prediction quality evaluation
fperf/fperf	retained	benchmark/testing candidate	Benchmark design, diagnostic integration, or representative workload candidate; not a certification of repository quality.
MILVLG/openvqa	excluded	benchmark/testing candidate	Search false positive or domain outside Rust performance harness requirements.
Project-AgML/AgML	excluded	benchmark/testing candidate	Search false positive or domain outside Rust performance harness requirements.
benchopt/benchopt	retained	benchmark/testing candidate	Benchmark design, diagnostic integration, or representative workload candidate; not a certification of repository quality.
cavalab/srbench	excluded	benchmark/testing candidate	Search false positive or domain outside Rust performance harness requirements.
OpenBMB/UltraEval-Audio	excluded	benchmark/testing candidate	Search false positive or domain outside Rust performance harness requirements.
bark-simulator/bark	retained	benchmark/testing candidate	Benchmark design, diagnostic integration, or representative workload candidate; not a certification of repository quality.
abeimler/ecs_benchmark	retained	benchmark/testing candidate	Benchmark design, diagnostic integration, or representative workload candidate; not a certification of repository quality.
android-bench/android-bench	excluded	benchmark/testing candidate	Search false positive or domain outside Rust performance harness requirements.
pathwaycom/pathway-benchmarks	retained	benchmark/testing candidate	Benchmark design, diagnostic integration, or representative workload candidate; not a certification of repository quality.
chaoran/fast-wait-free-queue	retained	benchmark/testing candidate	Benchmark design, diagnostic integration, or representative workload candidate; not a certification of repository quality.
numbbo/coco	excluded	benchmark/testing candidate	Search false positive or domain outside Rust performance harness requirements.
polyfractal/athletic	retained	benchmark/testing candidate	Benchmark design, diagnostic integration, or representative workload candidate; not a certification of repository quality.
seedifferently/the-great-web-framework-shootout	retained	benchmark/testing candidate	Benchmark design, diagnostic integration, or representative workload candidate; not a certification of repository quality.
sosy-lab/benchexec	retained	benchmark/testing candidate	Benchmark design, diagnostic integration, or representative workload candidate; not a certification of repository quality.
arey/java-object-mapper-benchmark	retained	benchmark/testing candidate	Benchmark design, diagnostic integration, or representative workload candidate; not a certification of repository quality.
reframe-hpc/reframe	retained	benchmark/testing candidate	Benchmark design, diagnostic integration, or representative workload candidate; not a certification of repository quality.
a-r-j/ProteinWorkshop	excluded	benchmark/testing candidate	Protein representation learning benchmark
ARM-software/Tool-Solutions	retained	benchmark/testing candidate	Benchmark design, diagnostic integration, or representative workload candidate; not a certification of repository quality.
sheredom/ubench.h	retained	benchmark/testing candidate	Benchmark design, diagnostic integration, or representative workload candidate; not a certification of repository quality.
efficientgo/e2e	retained	benchmark/testing candidate	Benchmark design, diagnostic integration, or representative workload candidate; not a certification of repository quality.
gormanm/mmtests	retained	benchmark/testing candidate	Benchmark design, diagnostic integration, or representative workload candidate; not a certification of repository quality.
alirezazareian/ovr-cnn	excluded	benchmark/testing candidate	Search false positive or domain outside Rust performance harness requirements.
stalkermustang/llm-bulls-and-cows-benchmark	excluded	benchmark/testing candidate	Search false positive or domain outside Rust performance harness requirements.
neurosim/MLP_NeuroSim_V3.0	excluded	benchmark/testing candidate	Search false positive or domain outside Rust performance harness requirements.
codefuse-ai/OpAgent	excluded	benchmark/testing candidate	Search false positive or domain outside Rust performance harness requirements.
google/benchmark	retained	benchmark/testing candidate	Benchmark design, diagnostic integration, or representative workload candidate; not a certification of repository quality.
evanwashere/mitata	retained	benchmark/testing candidate	Benchmark design, diagnostic integration, or representative workload candidate; not a certification of repository quality.
martinus/nanobench	retained	benchmark/testing candidate	Benchmark design, diagnostic integration, or representative workload candidate; not a certification of repository quality.
attaswift/Attabench	retained	benchmark/testing candidate	Benchmark design, diagnostic integration, or representative workload candidate; not a certification of repository quality.
atemerev/skynet	retained	benchmark/testing candidate	Benchmark design, diagnostic integration, or representative workload candidate; not a certification of repository quality.
sbt/sbt-jmh	retained	benchmark/testing candidate	Benchmark design, diagnostic integration, or representative workload candidate; not a certification of repository quality.
andreas-abel/nanoBench	retained	benchmark/testing candidate	Benchmark design, diagnostic integration, or representative workload candidate; not a certification of repository quality.
alco/benchfella	retained	benchmark/testing candidate	Benchmark design, diagnostic integration, or representative workload candidate; not a certification of repository quality.
scalameter/scalameter	retained	benchmark/testing candidate	Benchmark design, diagnostic integration, or representative workload candidate; not a certification of repository quality.
p-ranav/criterion	retained	benchmark/testing candidate	Benchmark design, diagnostic integration, or representative workload candidate; not a certification of repository quality.
iboB/picobench	retained	benchmark/testing candidate	Benchmark design, diagnostic integration, or representative workload candidate; not a certification of repository quality.
clamchowder/Microbenchmarks	retained	benchmark/testing candidate	Benchmark design, diagnostic integration, or representative workload candidate; not a certification of repository quality.
clamchowder/MicrobenchmarksGui	retained	benchmark/testing candidate	Benchmark design, diagnostic integration, or representative workload candidate; not a certification of repository quality.
Ichoran/thyme	retained	benchmark/testing candidate	Benchmark design, diagnostic integration, or representative workload candidate; not a certification of repository quality.
bazhenov/tango	retained	benchmark/testing candidate	Benchmark design, diagnostic integration, or representative workload candidate; not a certification of repository quality.
tylertreat/go-benchmarks	retained	benchmark/testing candidate	Benchmark design, diagnostic integration, or representative workload candidate; not a certification of repository quality.
aayasin/perf-tools	retained	benchmark/testing candidate	Benchmark design, diagnostic integration, or representative workload candidate; not a certification of repository quality.
sjfeng1999/gpu-arch-microbenchmark	retained	benchmark/testing candidate	Benchmark design, diagnostic integration, or representative workload candidate; not a certification of repository quality.
svanoort/python-client-benchmarks	retained	benchmark/testing candidate	Benchmark design, diagnostic integration, or representative workload candidate; not a certification of repository quality.
ChipsandCheese/Microbenchmarks	retained	benchmark/testing candidate	Benchmark design, diagnostic integration, or representative workload candidate; not a certification of repository quality.
joshuaulrich/microbenchmark	retained	benchmark/testing candidate	Benchmark design, diagnostic integration, or representative workload candidate; not a certification of repository quality.
JuliaLang/Microbenchmarks	retained	benchmark/testing candidate	Benchmark design, diagnostic integration, or representative workload candidate; not a certification of repository quality.
mp911de/microbenchmark-runner	retained	benchmark/testing candidate	Benchmark design, diagnostic integration, or representative workload candidate; not a certification of repository quality.
Dr-Noob/peakperf	retained	benchmark/testing candidate	Benchmark design, diagnostic integration, or representative workload candidate; not a certification of repository quality.
frappe/caffeine	retained	benchmark/testing candidate	Benchmark design, diagnostic integration, or representative workload candidate; not a certification of repository quality.
ucb-bar/ccbench	retained	benchmark/testing candidate	Benchmark design, diagnostic integration, or representative workload candidate; not a certification of repository quality.
stanford-mast/iBench	retained	benchmark/testing candidate	Benchmark design, diagnostic integration, or representative workload candidate; not a certification of repository quality.
ibireme/yybench	retained	benchmark/testing candidate	Benchmark design, diagnostic integration, or representative workload candidate; not a certification of repository quality.
forresti/osu-micro-benchmarks	retained	benchmark/testing candidate	Benchmark design, diagnostic integration, or representative workload candidate; not a certification of repository quality.
Vitorian/hft-challenges	retained	benchmark/testing candidate	Benchmark design, diagnostic integration, or representative workload candidate; not a certification of repository quality.
VerticalResearchGroup/microbench	excluded	benchmark/testing candidate	README too thin for content analysis
openjdk/jmh-jdk-microbenchmarks	retained	benchmark/testing candidate	Benchmark design, diagnostic integration, or representative workload candidate; not a certification of repository quality.
ldbc/lsqb	retained	benchmark/testing candidate	Benchmark design, diagnostic integration, or representative workload candidate; not a certification of repository quality.
Sayi/jmh-visual-chart	retained	benchmark/testing candidate	Benchmark design, diagnostic integration, or representative workload candidate; not a certification of repository quality.
hax/my-benchmark	excluded	benchmark/testing candidate	README too thin for content analysis
junkdog/entity-system-benchmarks	retained	benchmark/testing candidate	Benchmark design, diagnostic integration, or representative workload candidate; not a certification of repository quality.
shoaibkamil/stencilprobe	retained	benchmark/testing candidate	Benchmark design, diagnostic integration, or representative workload candidate; not a certification of repository quality.
SFU-HiAccel/uBench	retained	benchmark/testing candidate	Benchmark design, diagnostic integration, or representative workload candidate; not a certification of repository quality.
PeterTh/uCLbench	retained	benchmark/testing candidate	Benchmark design, diagnostic integration, or representative workload candidate; not a certification of repository quality.
scivision/python-performance	retained	benchmark/testing candidate	Benchmark design, diagnostic integration, or representative workload candidate; not a certification of repository quality.
IBM/microprobe	retained	benchmark/testing candidate	Benchmark design, diagnostic integration, or representative workload candidate; not a certification of repository quality.
tycho/clockperf	retained	benchmark/testing candidate	Benchmark design, diagnostic integration, or representative workload candidate; not a certification of repository quality.
