serokell/deploy-rs | A simple multi-profile Nix-flake deploy tool. | report,correctness
alibaba/MNN | MNN: A blazing-fast, lightweight inference engine battle-tested by Alibaba, powering high-performance on-device LLMs and Edge AI. | gpu,report
webdriverio/webdriverio | Next-gen browser and mobile automation test framework for Node.js | lifecycle,memory,report,correctness
apache/jmeter | Apache JMeter open-source load testing tool for analyzing and measuring the performance of a variety of services | async,report
artilleryio/artillery | The complete load testing platform. Everything you need for production-grade load tests. Serverless & distributed. Load test with  |
getanteon/anteon | Anteon (formerly Ddosify): eBPF-based Kubernetes Monitoring and Performance Testing | async
Blazity/next-enterprise | 💼 An enterprise-grade Next.js boilerplate for high-performance, maintainable apps. Packed with features like Tailwind CSS, TypeScr | statistics,lifecycle
baidu/dperf | dperf: High-Performance Network Load Testing Tool Based on DPDK | memory,async
sitespeedio/sitespeed.io | sitespeed.io is an open-source tool for comprehensive web performance analysis, enabling you to test, monitor, and optimize your w | comparison,lifecycle,memory,report
session-replay-tools/tcpcopy | An online request replication and TCP stream replay tool, ideal for real testing, performance testing, stability testing, stress t | comparison,lifecycle,async,correctness
marmelab/awesome-rest | A collaborative list of great resources about RESTful API architecture, development, test, and performance | gpu,report,correctness
fortio/fortio | Fortio load testing library, command line tool, advanced echo server and web UI in go (golang). Allows to specify a set query-per- | lifecycle,async,report
LinShunKang/MyPerf4J | High performance Java APM. Powered by ASM. Try it. Test it. If you feel its better, use it. | report
phoronix-test-suite/phoronix-test-suite | The Phoronix Test Suite open-source, cross-platform automated testing/benchmarking software. | comparison,lifecycle,report,correctness
albinotonnina/albinotonnina.com | Personal portfolio website with interactive animations and visual storytelling. Built with React, featuring modular scene manageme | lifecycle,async,report
pod4g/hiper | 🚀 A statistical analysis tool for performance testing  | statistics,report
alexfernandez/loadtest | Runs a load test on the selected URL. Fast and easy to use. Can be integrated in your own workflow using the API. | async,report
cleanbrowsing/dnsperftest | DNS Performance test |
fcsonline/drill | Drill is an HTTP load testing application written in Rust | async,report
dfeneyrou/palanteer | Visual Python and C++ nanosecond profiler, logger, tests enabler | statistics,memory
Blazemeter/taurus | Automation-friendly framework for Continuous Testing by | async,report
naver/ngrinder | enterprise level performance testing solution | statistics,async,report
reactopt/reactopt | A CLI React performance optimization tool that identifies potential unnecessary re-rendering | async,report
addyosmani/puppeteer-webperf | Automating Web Performance testing with Puppeteer 🎪 | memory,async,report
sqlancer/sqlancer | Automated testing to find logic and performance bugs in database systems | lifecycle,report,correctness
avoidwork/filesize.js | A lightweight, high-performance file size utility that converts bytes to human-readable strings. Zero dependencies. 100% test cove |
bamlab/flashlight | 📱⚡️ Lighthouse for Mobile - audits your app and gives a performance score to your Android apps (native, React Native, Flutter..).  | lifecycle,report
Inspiaaa/UnityHFSM | A fast, tried-and-tested hierarchical finite state machine library for Unity, designed to be easy to use yet powerful without comp | lifecycle,memory
TraceMachina/nativelink | NativeLink is a Nix-powered, open source, high-performance build cache and remote execution server, compatible with Bazel, Soong,  | lifecycle,report
callstack/reassure | Performance testing companion for React and React Native | statistics,comparison,lifecycle,async,report
d3ward/toolz | Project Archived - Easy-to-use interface and extensive collection of testing tools for optimizing performance and user experience. |
microsoft/diskspd | DISKSPD is a storage load generator / performance test tool from the Windows/Windows Server and Cloud Server Infrastructure Engine | lifecycle,memory,async,report,correctness,isolation
shulieTech/Takin | Takin is an Java-based, open-source system designed to measure online environmental performance test for full-links, Especially fo | report
treosh/lighthouse-ci-action | Audit URLs using Lighthouse and test performance with Lighthouse CI. | lifecycle,gpu,report,correctness
dmaicher/doctrine-test-bundle | Symfony bundle to isolate your app's doctrine database tests and improve the test performance | statistics,memory
YahooArchive/boomerang | End user oriented web performance testing and beaconing |
DoneDeal0/superdiff | Superdiff provides a rich and readable diff for arrays, objects, texts and coordinates. It supports stream and file inputs for han | lifecycle,report
fabienrenaud/java-json-benchmark | Performance testing of serialization and deserialization of Java JSON libraries | lifecycle,memory,async,report
linux-rdma/perftest | Infiniband Verbs Performance Tests | statistics,lifecycle,memory,gpu,async,report,correctness,isolation
tag1consulting/goose | Load testing framework, inspired by Locust | memory,correctness
kubernetes/perf-tests | Performance tests and benchmarks | lifecycle,report
HewlettPackard/netperf | Netperf is a benchmark that can be used to measure the performance of many different types of networking. It provides tests for bo | report
alloy-rs/core | High-performance, well-tested & documented core libraries for Ethereum, in Rust | report
janreges/siteone-crawler | SiteOne Crawler is a cross-platform website crawler and analyzer for SEO, security, accessibility, and performance optimization—id | comparison,lifecycle,memory,async,report,correctness,isolation
ubugeeei-prod/vize | blazing fast Vue.js toolchain. compiler, linter, type checker, formatter, lsp, story system, editors.  already passed 13k+ tests. | lifecycle,report,correctness
maxim-saplin/CrossPlatformDiskTest | Windows, macOS and Android storage (HDD, SSD, RAM) speed testing/performance benchmarking app | async
andyedinborough/stress-css | JavaScript to test each CSS class on a page and report which are hindering performance |
AirportR/fulltclash | General proxy performance testing tool based on Clash using Telegram API.  | async,report
LucaCanali/sparkMeasure | This repository contains the development code for sparkMeasure, an Apache Spark performance analysis and troubleshooting library.  | comparison,lifecycle,memory,async,report,correctness
dwyl/book | 📗 Our Book on Full-Stack Web Application Development covering User Experience (UX) Design, Mobile/Offline/Security First, Progress | report
rogerwelin/cassowary | :rocket: Modern cross-platform HTTP load-testing tool written in Go | async,report
grafana/k6-operator | An operator for running distributed k6 tests. | lifecycle
YueChen-C/py-ios-device | IOS Professional Performance Testing Tool . You can get CPU, GPU, Memory , Lifecycle  and other metrics from real  iOS devices . i | gpu
kube-burner/kube-burner | Kubernetes performance and scale test orchestration framework written in golang | report
